simID scen  seed	nr	nt	mu	nhd	var_case0	var_casetest0	var_readercase0	var_error0	var_case1	var_casetest1	var_readercase1	var_error1	var_reader	var_readertest
76	LL	1076	3	2	0.821	100	0.1	0.1	0.2	0.6	0.14	0.14	0.28	0.28	0.0066	0.0066
77	LL	1077	3	2	1.831	100	0.1	0.1	0.2	0.6	0.2	0.2	0.4	0.19	0.0082	0.0082
78	LL	1078	3	2	3.661	100	0.1	0.1	0.2	0.6	0.33	0.33	0.66	1.97	0.0118	0.0118
79	HH	1079	3	2	0.821	100	0.3	0.3	0.2	0.2	0.42	0.42	0.28	0.28	0.0132	0.0132
80	HH	1080	3	2	1.831	100	0.3	0.3	0.2	0.2	0.59	0.59	0.4	0.4	0.0447	0.0447
81	HH	1081	3	2	3.661	100	0.3	0.3	0.2	0.2	0.99	0.99	0.66	0.66	0.1201	0.1201
82	LH	1082	3	2	0.821	100	0.1	0.1	0.2	0.6	0.14	0.14	0.28	0.84	0.0132	0.0132
83	LH	1083	3	2	1.831	100	0.1	0.1	0.2	0.6	0.2	0.2	0.4	1.19	0.0447	0.0447
84	LH	1084	3	2	3.661	100	0.1	0.1	0.2	0.6	0.33	0.33	0.66	1.97	0.1201	0.1201
85	HL	1085	5	2	0.821	100	0.3	0.3	0.2	0.2	0.42	0.42	0.28	0.28	0.0066	0.0066
86	HL	1086	5	2	1.831	100	0.3	0.3	0.2	0.2	0.59	0.59	0.4	0.4	0.0082	0.0082
87	HL	1087	5	2	3.661	100	0.3	0.3	0.2	0.2	0.99	0.99	0.66	0.66	0.0118	0.0118
88	LL	1088	5	2	0.821	100	0.1	0.1	0.2	0.6	0.14	0.14	0.28	0.28	0.0066	0.0066
89	LL	1089	5	2	1.831	100	0.1	0.1	0.2	0.6	0.2	0.2	0.4	0.19	0.0082	0.0082
90	LL	1090	5	2	3.661	100	0.1	0.1	0.2	0.6	0.33	0.33	0.66	1.97	0.0118	0.0118
91	HH	1091	5	2	0.821	100	0.3	0.3	0.2	0.2	0.42	0.42	0.28	0.28	0.0132	0.0132
92	HH	1092	5	2	1.831	100	0.3	0.3	0.2	0.2	0.59	0.59	0.4	0.4	0.0447	0.0447
93	HH	1093	5	2	3.661	100	0.3	0.3	0.2	0.2	0.99	0.99	0.66	0.66	0.1201	0.1201
94	LH	1094	5	2	0.821	100	0.1	0.1	0.2	0.6	0.14	0.14	0.28	0.84	0.0132	0.0132
95	LH	1095	5	2	1.831	100	0.1	0.1	0.2	0.6	0.2	0.2	0.4	1.19	0.0447	0.0447
96	LH	1096	5	2	3.661	100	0.1	0.1	0.2	0.6	0.33	0.33	0.66	1.97	0.1201	0.1201
97	HL	1097	10	2	0.821	100	0.3	0.3	0.2	0.2	0.42	0.42	0.28	0.28	0.0066	0.0066
98	HL	1098	10	2	1.831	100	0.3	0.3	0.2	0.2	0.59	0.59	0.4	0.4	0.0082	0.0082
99	HL	1099	10	2	3.661	100	0.3	0.3	0.2	0.2	0.99	0.99	0.66	0.66	0.0118	0.0118
100	LL	1100	10	2	0.821	100	0.1	0.1	0.2	0.6	0.14	0.14	0.28	0.28	0.0066	0.0066
101	LL	1101	10	2	1.831	100	0.1	0.1	0.2	0.6	0.2	0.2	0.4	0.19	0.0082	0.0082
102	LL	1102	10	2	3.661	100	0.1	0.1	0.2	0.6	0.33	0.33	0.66	1.97	0.0118	0.0118
103	HH	1103	10	2	0.821	100	0.3	0.3	0.2	0.2	0.42	0.42	0.28	0.28	0.0132	0.0132
104	HH	1104	10	2	1.831	100	0.3	0.3	0.2	0.2	0.59	0.59	0.4	0.4	0.0447	0.0447
105	HH	1105	10	2	3.661	100	0.3	0.3	0.2	0.2	0.99	0.99	0.66	0.66	0.1201	0.1201
106	LH	1106	10	2	0.821	100	0.1	0.1	0.2	0.6	0.14	0.14	0.28	0.84	0.0132	0.0132
107	LH	1107	10	2	1.831	100	0.1	0.1	0.2	0.6	0.2	0.2	0.4	1.19	0.0447	0.0447
108	LH	1108	10	2	3.661	100	0.1	0.1	0.2	0.6	0.33	0.33	0.66	1.97	0.1201	0.1201
